district,name,party,incumbent,winner,raised,spent,state
CA36,Erin Cruz ,R,False,False,54217,53840,California
CA37,Karen Bass ,D,True,True,2216467,1202942,California
CA37,Errol Webber ,R,False,False,66398,174076,California
CA38,Linda Sanchez ,D,True,True,1246008,1140165,California
CA39,Gil Cisneros ,D,True,False,4370133,4350464,California
CA39,Young Kim ,R,False,True,6424556,6021651,California
CA40,Lucille Roybal-Allard ,D,True,True,739790,741379,California
CA40,Antonio Delgado ,R,False,False,85014,79270,California
CA41,Mark Takano ,D,True,True,1020456,949494,California
CA41,Aja Smith ,R,False,False,660658,659909,California
CA42,Ken Calvert ,R,True,True,1441812,1549113,California
CA42,Liam O'Mara ,D,False,False,130065,128782,California
CA43,Maxine Waters ,D,True,True,1836660,1906957,California
CA43,Joe Collins ,R,False,False,10556626,9921103,California
CA44,Nanette Barragan ,D,True,True,1173909,714023,California
CA45,Katie Porter ,D,True,True,16627706,6443700,California
CA45,Greg Raths ,R,False,False,1245767,1241713,California
CA46,Lou Correa ,D,True,True,1192715,650707,California
CA47,Alan Lowenthal ,D,True,True,678648,854902,California
CA47,John Briscoe ,R,False,False,25302,21538,California
CA48,Harley Rouda ,D,True,False,5968858,6174443,California
CA48,Michelle Steel ,R,False,True,6305665,6148591,California
CA49,Mike Levin ,D,True,True,3845768,2901566,California
CA49,Brian Maryott ,R,False,False,2810253,2808217,California
CA50,Darrell Issa ,R,False,True,11239670,10947106,California
CA50,Ammar Campa-Najjar ,D,False,False,6248210,6247762,California
CA51,Juan Vargas ,D,True,True,799734,801671,California
CA51,Juan Hidalgo ,R,False,False,83730,81182,California
CA52,Scott Peters ,D,True,True,1911791,2131849,California
CA52,James Debello ,R,False,False,233464,224630,California
CA53,Sara Jacobs ,D,False,True,7678363,7586186,California
CA53,Georgette Gomez ,D,False,False,1691794,1663252,California
CO01,Diana DeGette ,D,True,True,1201026,1077130,Colorado
CO02,Joseph Neguse ,D,True,True,1353325,674602,Colorado
CO02,Charles Winn ,R,False,False,98338,98338,Colorado
CO02,Alex Johnson ,I,False,False,4782,4093,Colorado
CO03,Diane Mitsch Bush ,D,False,False,5008274,4984238,Colorado
CO03,Lauren Boebert ,R,False,True,2989510,2632716,Colorado
CO03,Chris Milton ,3,False,False,12012,12012,Colorado
CO04,Ken Buck ,R,True,True,478984,539393,Colorado
CO04,Ike McCorkle ,D,False,False,369871,217398,Colorado
CO05,Douglas L Lamborn ,R,True,True,540712,329011,Colorado
CO05,Jillian Freeland ,D,False,False,185255,175548,Colorado
CO05,Rebecca Keltie ,3,False,False,2552,1495,Colorado
CO06,Jason Crow ,D,True,True,4136137,2892443,Colorado
CO06,Steven House ,R,False,False,1200056,1198044,Colorado
CO06,Jaimie Kulikowski ,3,False,False,72293,110645,Colorado
CO07,Ed Perlmutter ,D,True,True,1632262,1339482,Colorado
CO07,Casper Stockham ,R,False,False,147872,147872,Colorado
CO07,Anthony Malgieri ,I,False,False,1930,1958,Colorado
CT01,John Larson ,D,True,True,1377238,1323690,Connecticut
CT01,Mary Fay ,R,False,False,26836,25118,Connecticut
CT02,Joe Courtney ,D,True,True,964731,999360,Connecticut
CT02,Justin Anderson ,R,False,False,80227,78767,Connecticut
CT03,Rosa L DeLauro ,D,True,True,1938999,1795635,Connecticut
CT03,Margaret Streicker ,R,False,False,1839080,1835385,Connecticut
CT03,Justin Paglino ,3,False,False,29200,28670,Connecticut
CT04,Jim Himes ,D,True,True,1612935,2180029,Connecticut
CT04,Jonathan Riddle ,R,False,False,31591,17385,Connecticut
CT05,Jahana Hayes ,D,True,True,2037826,1564685,Connecticut
CT05,David Sullivan ,R,False,False,397395,397370,Connecticut
DE01,Lisa Blunt Rochester ,D,True,True,2024201,1305618,Delaware
DE01,Lee Murphy ,R,False,False,131394,131862,Delaware
DE01,Matthew Morris ,R,False,False,10070,10400,Delaware
DE01,Catherine Purcell ,I,False,False,5344,5103,Delaware
FL01,Matt Gaetz ,R,True,True,5946646,4482782,Florida
FL01,Phil Ehr ,D,False,False,2025099,1900451,Florida
FL01,Bert Oram ,I,False,False,8108,7070,Florida
FL02,Neal Dunn ,R,True,True,653488,637580,Florida
FL02,Kristy Thripp ,I,False,False,145,145,Florida
FL03,Kat Cammack ,R,False,True,1122188,1090334,Florida
FL03,Adam Christensen ,D,False,False,216021,219108,Florida
FL04,John Rutherford ,R,True,True,1024912,1283701,Florida
FL04,Donna Deegan ,D,False,False,1013157,1013157,Florida
FL05,Al Lawson ,D,True,True,848498,695779,Florida
FL05,Gary Adler ,R,False,False,146909,146909,Florida
FL06,Michael Waltz ,R,True,True,2549667,1716768,Florida
FL06,Clint Curtis ,D,False,False,24310,22251,Florida
FL06,Gerry Nolan ,I,False,False,4467,5256,Florida
FL07,Stephanie Murphy ,D,True,True,3124692,1798549,Florida
FL07,Leo Valentin ,R,False,False,1045426,1031316,Florida
FL07,Bill Garlington ,I,False,False,11000,0,Florida
FL08,Bill Posey ,R,True,True,985268,1121834,Florida
FL08,James Kennedy ,D,False,False,138568,138790,Florida
FL09,Darren Soto ,D,True,True,1111750,945868,Florida
FL09,William Olson ,R,False,False,404406,401088,Florida
FL10,Val Demings ,D,True,True,1876047,1191020,Florida
FL10,Vennia Francois ,R,False,False,335480,332852,Florida
FL10,Kristofer Steven Lawson ,I,False,False,47,47,Florida
FL11,Daniel Webster ,R,True,True,691261,586965,Florida
FL11,Dana Cottrell ,D,False,False,62658,62380,Florida
FL12,Gus Bilirakis ,R,True,True,1604137,1548634,Florida
FL12,Kim Walker ,D,False,False,42802,33544,Florida
FL13,Charlie Crist ,D,True,True,2720646,3980695,Florida
FL13,Anna Paulina Luna ,R,False,False,3302944,3262236,Florida
FL14,Kathy Castor ,D,True,True,884651,1201653,Florida
FL14,Christine Quinn ,R,False,False,242144,241187,Florida
FL15,Alan Cohn ,D,False,False,2333053,2300197,Florida
FL15,Scott Franklin ,R,False,True,1663898,1638417,Florida
FL16,Vernon Buchanan ,R,True,True,3094611,3100766,Florida
FL16,Margaret Good ,D,False,False,3411924,3407845,Florida
FL17,Greg Steube ,R,True,True,759908,621200,Florida
FL17,Allen Ellison ,D,False,False,83481,78243,Florida
FL18,Brian Mast ,R,True,True,6128177,5301307,Florida
FL18,Pam Keith ,D,False,False,1639873,1632736,Florida
FL19,Byron Donalds ,R,False,True,3219579,2738685,Florida
FL19,Cindy Banyai ,D,False,False,214750,203430,Florida
FL20,Alcee Hastings ,D,True,True,607649,543316,Florida
FL20,Greg Musselwhite ,R,False,False,28955,27538,Florida
FL21,Lois J Frankel ,D,True,True,1534882,1309786,Florida
FL21,Laura Loomer ,R,False,False,2271604,2240689,Florida
FL21,Charleston Malkemus ,I,False,False,28928,28636,Florida
FL22,Ted Deutch ,D,True,True,1364438,1265494,Florida
FL22,Jim Pruden ,R,False,False,278416,278416,Florida
FL23,Debbie Wasserman Schultz ,D,True,True,2191922,1979903,Florida
FL23,Carla Spalding ,R,False,False,919579,903561,Florida
FL24,Frederica Wilson ,D,True,True,412592,321019,Florida
FL24,Lavern Spicer ,R,False,False,34973,34909,Florida
FL24,Christine Olivo ,I,False,False,31646,32898,Florida
FL25,Mario Diaz-Balart ,R,True,True,1590134,804054,Florida
FL26,Debbie Mucarsel-Powell ,D,True,False,6793521,6822740,Florida
FL26,Carlos Gimenez ,R,False,True,2226559,2187389,Florida
FL27,Donna Shalala ,D,True,False,3842907,3735966,Florida
FL27,Maria Salazar ,R,False,True,3654190,3645814,Florida
FL27,Frank Polo ,I,False,False,4606,4662,Florida
GA01,Buddy Carter ,R,True,True,2315487,1734754,Georgia
GA01,Joyce Griggs ,D,False,False,130043,125000,Georgia
GA02,Sanford Bishop ,D,True,True,1540683,1440571,Georgia
GA02,Don Cole ,R,False,False,164274,162522,Georgia
GA03,Drew Ferguson ,R,True,True,2374212,2150911,Georgia
GA03,Valbrun Almonord ,D,False,False,35762,31946,Georgia
GA04,Hank Johnson ,D,True,True,628303,490360,Georgia
GA04,Johsira C. Cruz ,R,False,False,12954,23146,Georgia
GA05,Nikema Williams ,D,False,True,553964,362801,Georgia
GA05,Robert Franklin ,D,False,False,360473,358394,Georgia
GA05,Angela Stanton-King ,R,False,False,305279,301338,Georgia
GA05,Kwanza Hall ,D,False,False,239597,227091,Georgia
GA05,Barrington Martin II ,D,False,False,16522,16517,Georgia
GA05,Chase Oliver ,L,False,False,9225,5220,Georgia
GA05,Steven Muhammad ,I,False,False,3497,-4965,Georgia
GA05,Keisha Waites ,D,False,False,875,0,Georgia
GA06,Lucy McBath ,D,True,True,8507298,8586054,Georgia
GA06,Karen Handel ,R,False,False,3026243,3072932,Georgia
GA07,Carolyn Bourdeaux ,D,False,True,5133244,5161230,Georgia
GA07,Richard McCormick ,R,False,False,2595446,2563724,Georgia
GA08,Austin Scott ,R,True,True,821745,716159,Georgia
GA08,Jimmy Cooper ,3,False,False,8542,8528,Georgia
GA08,Lindsay Holliday ,D,False,False,7480,5220,Georgia
GA09,Andrew Clyde ,R,False,True,1569425,1561316,Georgia
GA09,Devin Pandy ,D,False,False,84272,84623,Georgia
GA10,Jody Hice ,R,True,True,595947,457648,Georgia
GA10,Tabitha Johnson-Green ,D,False,False,14808,12214,Georgia
GA11,Barry Loudermilk ,R,True,True,877767,700851,Georgia
GA11,Dana Barrett ,D,False,False,404625,394977,Georgia
GA12,Richard W Allen ,R,True,True,1228970,662818,Georgia
GA12,Liz Johnson ,D,False,False,72061,72061,Georgia
GA13,David Scott ,D,True,True,1209614,1131746,Georgia
GA13,Becky Hites ,R,False,False,63509,62935,Georgia
GA13,Martin Cowen ,L,False,False,13460,13464,Georgia
GA14,Marjorie Taylor Greene ,R,False,True,2596914,2237599,Georgia
HI01,Ed Case ,D,True,False,508249,472569,Hawaii
HI01,Ron Curtis ,R,False,False,12538,12647,Hawaii
HI02,Kai Kahele ,D,False,True,1235523,1039637,Hawaii
HI02,Joe Akana ,R,False,False,54534,55344,Hawaii
HI02,Jonathan Hoomanawanui ,3,False,False,1883,1522,Hawaii
