,Candidate,Raised,Spent,Cash on Hand,Last Report,state,district
289,Jan Schakowsky (D)  • Incumbent • Winner,"$1,834,801","$1,514,838","$749,054",12/31/2020,IL,09
290,Sargis Sangari (R),"$35,364","$34,715","-$3,410",12/31/2020,IL,09
291,Brad Schneider (D)  • Incumbent • Winner,"$3,459,512","$2,873,333","$1,873,763",12/31/2020,IL,10
292,Valerie Ramirez Mukherjee (R),"$130,225","$64,764","$65,461",12/31/2020,IL,10
293,Bill Foster (D)  • Incumbent • Winner,"$2,381,354","$1,823,906","$3,736,201",12/31/2020,IL,11
294,Rick Laib (R),"$20,343","$20,064",$279,12/31/2020,IL,11
295,Mike Bost (R)  • Incumbent • Winner,"$1,918,041","$1,509,573","$413,789",12/31/2020,IL,12
296,Ray Lenzi (D),"$161,324","$104,809","$57,903",11/23/2020,IL,12
297,Rodney Davis (R)  • Incumbent • Winner,"$4,943,459","$4,822,600","$140,436",12/31/2020,IL,13
298,Betsy Dirksen Londrigan (D),"$5,297,007","$5,281,880","$15,895",12/31/2020,IL,13
299,Lauren A Underwood (D)  • Incumbent • Winner,"$7,803,579","$7,301,503","$537,898",12/31/2020,IL,14
300,Jim Oberweis (R),"$2,438,857","$2,348,798","$90,059",12/31/2020,IL,14
301,Mary Miller (R)  • Winner,"$689,057","$570,356","$118,701",12/31/2020,IL,15
302,Erika Weaver (D),"$58,689","$23,349","-$2,772",10/14/2020,IL,15
303,Adam Kinzinger (R)  • Incumbent • Winner,"$2,105,736","$1,588,550","$1,523,650",12/31/2020,IL,16
304,Dani Brzozowski (D),"$459,344","$376,167",-$314,12/31/2020,IL,16
305,Cheri Bustos (D)  • Incumbent • Winner,"$4,975,192","$6,391,009","$918,624",12/31/2020,IL,17
306,Esther Joy King (R),"$2,032,878","$2,030,587","$2,292",12/31/2020,IL,17
307,Darin LaHood (R)  • Incumbent • Winner,"$3,248,113","$1,749,128","$3,090,571",12/31/2020,IL,18
308,Frank J. Mrvan (D)  • Winner,"$578,635","$464,407","$114,228",12/31/2020,IN,01
309,Mark Leyva (R),"$16,551","$15,343","$1,208",12/31/2020,IN,01
310,Jackie Walorski (R)  • Incumbent • Winner,"$2,383,467","$1,698,202","$803,297",12/31/2020,IN,02
311,Pat Hackett (D),"$881,888","$867,301","$15,785",12/31/2020,IN,02
312,Jim Banks (R)  • Incumbent • Winner,"$1,202,509","$769,591","$444,427",12/31/2020,IN,03
313,Chip Coldiron (D),"$94,056","$89,883","$2,119",12/31/2020,IN,03
314,Jim Baird (R)  • Incumbent • Winner,"$327,727","$190,158","$247,371",12/31/2020,IN,04
315,Joe Mackey (D),"$44,585","$43,213","$1,590",12/31/2020,IN,04
316,Christina Hale (D),"$4,010,368","$3,998,905","$11,464",12/31/2020,IN,05
317,Victoria Spartz (R)  • Winner,"$3,119,328","$3,010,203","$109,124",12/31/2020,IN,05
318,Greg Pence (R)  • Incumbent • Winner,"$3,114,448","$2,804,148","$510,827",12/31/2020,IN,06
319,Jeannine Lee Lake (D),"$143,089","$145,315","-$2,227",11/23/2020,IN,06
320,Andre Carson (D)  • Incumbent • Winner,"$1,011,635","$873,962","$988,170",12/31/2020,IN,07
321,Susan Marie Smith (R),"$62,905","$59,843","$1,857",12/31/2020,IN,07
322,Larry Bucshon (R)  • Incumbent • Winner,"$1,051,336","$1,078,646","$206,920",12/31/2020,IN,08
323,Thomasina Marsili (D),"$68,734","$68,480",$254,12/31/2020,IN,08
324,Trey Hollingsworth (R)  • Incumbent • Winner,"$1,166,754","$501,136","$672,944",12/31/2020,IN,09
325,Andy Ruff (D),"$148,263","$134,906","$13,357",12/31/2020,IN,09
326,Tonya Millis (L),"$10,224","$10,041",$59,11/12/2020,IN,09
327,Abby Finkenauer (D)  • Incumbent,"$5,901,441","$5,875,405","$55,019",12/31/2020,IA,01
328,Ashley Hinson (R)  • Winner,"$5,175,883","$5,059,211","$116,672",12/31/2020,IA,01
329,Rita Hart (D),"$4,232,992","$4,114,400","$118,592",12/31/2020,IA,02
330,Mariannette Miller-Meeks (R)  • Winner,"$2,174,194","$1,721,926","$452,413",12/31/2020,IA,02
331,Cindy Axne (D)  • Incumbent • Winner,"$6,236,976","$6,236,994","$19,521",12/31/2020,IA,03
332,David Young (R),"$3,170,072","$3,094,582","$88,291",12/31/2020,IA,03
333,J.D. Scholten (D),"$2,885,915","$2,902,003","$53,112",12/31/2020,IA,04
334,Randy Feenstra (R)  • Winner,"$1,906,234","$1,894,288","$11,946",12/31/2020,IA,04
335,Tracey Mann (R)  • Winner,"$1,403,353","$1,127,156","$276,197",12/31/2020,KS,01
336,Kali Barnett (D),"$603,036","$592,924","$10,112",12/31/2020,KS,01
337,Michelle De La Isla (D),"$1,825,085","$1,810,968","$14,118",12/31/2020,KS,02
338,Jake Laturner (R)  • Winner,"$1,593,407","$1,578,460","$14,947",12/31/2020,KS,02
339,Sharice Davids (D)  • Incumbent • Winner,"$5,638,552","$5,168,034","$479,150",12/31/2020,KS,03
340,Amanda Adkins (R),"$2,182,382","$2,139,673","$42,710",12/31/2020,KS,03
341,Ron Estes (R)  • Incumbent • Winner,"$1,993,808","$1,420,188","$844,164",12/31/2020,KS,04
342,Laura Lombard (D),"$264,459","$258,684","$5,775",11/23/2020,KS,04
343,James Comer (R)  • Incumbent • Winner,"$736,116","$502,554","$402,463",12/31/2020,KY,01
344,Brett Guthrie (R)  • Incumbent • Winner,"$1,412,797","$1,566,622","$1,856,674",12/31/2020,KY,02
345,Hank Linderman (D),"$93,388","$71,122","$31,482",12/31/2020,KY,02
346,Robert Lee Perry (L),"$12,798","$7,825",$0,12/31/2020,KY,02
347,John Yarmuth (D)  • Incumbent • Winner,"$658,295","$690,226","$169,846",12/31/2020,KY,03
348,Rhonda Palazzo (R),"$46,144","$45,668",$476,12/31/2020,KY,03
349,Thomas Massie (R)  • Incumbent • Winner,"$1,457,316","$1,563,275","$119,384",12/31/2020,KY,04
350,Alexandra Owensby (D),"$156,174","$106,359","$49,227",10/14/2020,KY,04
351,Hal Rogers (R)  • Incumbent • Winner,"$664,168","$835,781","$836,903",12/31/2020,KY,05
352,Andy Barr (R)  • Incumbent • Winner,"$4,536,264","$4,316,239","$354,703",12/31/2020,KY,06
353,Josh Hicks (D),"$2,936,320","$2,935,615",$705,12/31/2020,KY,06
354,Steve Scalise (R)  • Incumbent • Winner,"$37,262,827","$32,830,607","$6,217,720",12/31/2020,LA,01
355,Cedric Richmond (D)  • Incumbent • Winner,"$1,628,289","$1,302,079","$795,949",12/31/2020,LA,02
356,Clay Higgins (R)  • Incumbent • Winner,"$751,498","$720,424","$71,763",12/31/2020,LA,03
357,Robert Jon Anderson (D),"$63,617","$48,015","$2,695",03/31/2020,LA,03
358,Braylon Harris (D),"$23,006","$15,130","$7,876",12/31/2020,LA,03
359,Mike Johnson (R)  • Incumbent • Winner,"$1,299,787","$1,039,393","$669,686",12/31/2020,LA,04
360,Kenny Houston (D),"$33,677","$33,407",$270,12/15/2020,LA,04
361,Luke Letlow (R),"$1,392,822","$1,303,757","$89,065",12/31/2020,LA,05
362,Lance Harris (R),"$696,805","$687,833","$8,972",12/31/2020,LA,05
363,Martin Lemelle (D),"$173,796","$162,747","$11,048",12/31/2020,LA,05
364,Scotty Robinson (R),"$113,903","$113,835",$68,12/31/2020,LA,05
365,Candy Christophe (D),"$77,101","$131,161","-$51,355",12/31/2020,LA,05
366,Phillip Snowden (D),"$29,481","$28,077",$1,11/23/2020,LA,05
367,Matthew Hasty (R),"$2,654","$2,615",$38,10/15/2020,LA,05
368,Garret Graves (R)  • Incumbent • Winner,"$1,743,015","$1,200,287","$2,026,909",12/31/2020,LA,06
369,Dartanyon Williams (D),"$111,316","$98,114","$8,723",12/31/2020,LA,06
370,Chellie Pingree (D)  • Incumbent • Winner,"$487,080","$264,790","$446,658",12/31/2020,ME,01
371,Jay Allen (R),"$79,585","$69,853","$9,731",12/31/2020,ME,01
372,Jared Golden (D)  • Incumbent • Winner,"$5,272,142","$5,233,990","$130,861",12/31/2020,ME,02
373,Dale Crafts (R),"$1,199,805","$1,196,117","$3,689",12/31/2020,ME,02
374,Andy Harris (R)  • Incumbent • Winner,"$1,468,096","$973,953","$1,043,179",12/31/2020,MD,01
375,Mia Mason (D),"$2,524",$0,$0,06/30/2020,MD,01
376,Dutch Ruppersberger (D)  • Incumbent • Winner,"$1,012,835","$927,353","$1,204,214",12/31/2020,MD,02
377,Johnny Ray Salling (R),"$68,320","$66,895","$1,525",12/31/2020,MD,02
378,John Sarbanes (D)  • Incumbent • Winner,"$573,599","$687,299","$1,036,784",12/31/2020,MD,03
379,Charles Anthony (R),"$7,798","$6,742","$1,006",12/31/2020,MD,03
380,Anthony Brown (D)  • Incumbent • Winner,"$1,446,636","$846,827","$1,117,335",12/31/2020,MD,04
381,Steny H Hoyer (D)  • Incumbent • Winner,"$4,587,189","$4,342,255","$879,067",12/31/2020,MD,05
382,Chris Palombi (R),"$43,462","$42,095","$1,366",12/31/2020,MD,05
383,David Trone (D)  • Incumbent • Winner,"$2,944,893","$2,959,748","$93,680",12/31/2020,MD,06
384,Neil Parrott (R),"$315,936","$261,259","$117,161",12/31/2020,MD,06
385,Kweisi Mfume (D)  • Incumbent • Winner,"$1,014,126","$713,389","$300,737",12/31/2020,MD,07
386,Kimberly Klacik (R),"$8,296,845","$7,499,454","$803,568",12/31/2020,MD,07
387,Amber Ivey (I),"$41,924","$43,394",$0,09/30/2020,MD,07
388,Jamie Raskin (D)  • Incumbent • Winner,"$2,072,652","$1,399,252","$1,338,530",12/31/2020,MD,08
389,Gregory Coll (R),"$30,876","$27,257","$3,618",12/31/2020,MD,08
390,Richard E Neal (D)  • Incumbent • Winner,"$4,949,384","$5,873,122","$2,384,564",12/31/2020,MA,01
391,James P McGovern (D)  • Incumbent • Winner,"$1,052,549","$1,089,412","$264,946",12/31/2020,MA,02
392,Tracy Lovvorn (R),"$26,311","$22,319","$6,398",12/31/2020,MA,02
393,Lori Trahan (D)  • Incumbent • Winner,"$1,449,303","$1,232,437","$285,963",12/31/2020,MA,03
394,Jake Auchincloss (D)  • Winner,"$2,608,686","$2,150,904","$457,782",12/31/2020,MA,04
395,Julie Hall (R),"$131,603","$129,378","$2,225",12/31/2020,MA,04
396,Katherine Clark (D)  • Incumbent • Winner,"$1,788,706","$1,514,877","$1,292,775",12/31/2020,MA,05
397,Caroline Colarusso (R),"$148,635","$146,972","$1,663",12/31/2020,MA,05
398,Seth Moulton (D)  • Incumbent • Winner,"$1,289,805","$1,802,169","$245,668",12/31/2020,MA,06
399,John Paul Moran (R),"$300,220","$299,104","$1,117",12/31/2020,MA,06
400,Ayanna Pressley (D)  • Incumbent • Winner,"$2,163,370","$1,748,432","$501,037",12/31/2020,MA,07
401,Stephen F Lynch (D)  • Incumbent • Winner,"$905,614","$1,134,662","$1,213,384",12/31/2020,MA,08
402,Bill Keating (D)  • Incumbent • Winner,"$708,680","$652,448","$1,504,778",12/31/2020,MA,09
403,Helen Brady (R),"$28,233","$23,735","$4,498",12/31/2020,MA,09
404,John Bergman (R)  • Incumbent • Winner,"$1,868,512","$1,733,466","$140,400",12/31/2020,MI,01
405,Dana Ferguson (D),"$346,213","$339,788","$4,287",12/31/2020,MI,01
406,Bill Huizenga (R)  • Incumbent • Winner,"$2,175,411","$1,883,610","$469,697",12/31/2020,MI,02
407,Bryan Berghoef (D),"$751,576","$669,864","$19,351",12/31/2020,MI,02
408,Jean-Michel Creviere (3),$281,"$1,207",-$559,11/15/2020,MI,02
409,Hillary Scholten (D),"$3,793,132","$3,765,942","$27,190",12/31/2020,MI,03
410,Peter Meijer (R)  • Winner,"$2,975,972","$2,887,774","$88,199",12/31/2020,MI,03
411,John Moolenaar (R)  • Incumbent • Winner,"$1,528,612","$1,036,160","$611,147",12/31/2020,MI,04
412,Jerry Hilliard (D),"$23,117","$23,603",$0,12/31/2020,MI,04
413,Dan Kildee (D)  • Incumbent • Winner,"$1,669,951","$1,504,094","$781,722",12/31/2020,MI,05
414,Tim Kelly (R),"$71,106","$71,106",$0,12/31/2020,MI,05
415,Fred Upton (R)  • Incumbent • Winner,"$3,616,380","$3,464,617","$187,875",12/31/2020,MI,06
416,Jon Hoadley (D),"$3,116,491","$3,098,366","$18,125",12/31/2020,MI,06
417,Tim Walberg (R)  • Incumbent • Winner,"$2,301,635","$1,586,358","$769,368",12/31/2020,MI,07
418,Gretchen Driskell (D),"$1,712,840","$1,712,840",$0,12/21/2020,MI,07
419,Elissa Slotkin (D)  • Incumbent • Winner,"$8,967,420","$7,419,974","$1,566,680",12/31/2020,MI,08
420,Paul Junge (R),"$2,107,608","$2,097,131","$10,477",12/31/2020,MI,08
421,Andy Levin (D)  • Incumbent • Winner,"$1,316,607","$907,237","$428,478",12/31/2020,MI,09
422,Lisa McClain (R)  • Winner,"$2,266,287","$2,137,031","$123,256",12/31/2020,MI,10
423,Kimberly Bizon (D),"$41,438","$41,246","$24,582",12/31/2020,MI,10
424,Haley Stevens (D)  • Incumbent • Winner,"$5,776,924","$5,707,448","$84,994",12/31/2020,MI,11
425,Eric Esshaki (R),"$1,298,612","$1,291,509","$7,104",12/31/2020,MI,11
426,Debbie Dingell (D)  • Incumbent • Winner,"$1,630,498","$1,689,582","$437,383",12/31/2020,MI,12
427,Jeff Jones (R),"$10,616","$9,657","$1,513",12/31/2020,MI,12
428,Rashida Tlaib (D)  • Incumbent • Winner,"$4,014,411","$3,690,334","$391,732",12/31/2020,MI,13
429,Donald Eason (I),"$34,156","$34,156",$0,12/31/2020,MI,13
430,Brenda Lawrence (D)  • Incumbent • Winner,"$1,084,662","$789,570","$891,186",12/31/2020,MI,14
431,Vance Patrick (R),"$39,670","$41,973","$8,890",11/23/2020,MI,14
432,Jim Hagedorn (R)  • Incumbent • Winner,"$2,386,033","$2,305,994","$81,131",12/31/2020,MN,01
433,Daniel Feehan (D),"$4,861,651","$4,863,835","$1,337",12/31/2020,MN,01
434,Angie Craig (D)  • Incumbent • Winner,"$5,380,101","$4,435,492","$1,032,000",12/31/2020,MN,02
435,Tyler Kistner (R),"$2,990,054","$2,956,042","$34,012",12/31/2020,MN,02
436,Dean Phillips (D)  • Incumbent • Winner,"$2,328,616","$2,152,031","$218,067",12/31/2020,MN,03
437,Kendall Qualls (R),"$1,863,927","$1,751,214","$112,712",12/31/2020,MN,03
438,Gary Heyer (I),$827,$827,$0,01/20/2020,MN,03
439,Betty McCollum (D)  • Incumbent • Winner,"$1,171,748","$994,072","$283,976",12/31/2020,MN,04
440,Gene Rechtzigel (R),"$20,075","$20,075",$100,08/31/2020,MN,04
441,Ilhan Omar (D)  • Incumbent • Winner,"$5,718,517","$5,605,576","$167,770",12/31/2020,MN,05
442,Lacy Johnson (R),"$12,050,564","$12,000,896","$49,668",12/31/2020,MN,05
443,Chris Kelley (3),"$249,583","$249,583",$0,07/02/2020,MN,05
444,Ervan Katari Miller (I),$255,$187,$68,09/16/2019,MN,05
445,Tom Emmer (R)  • Incumbent • Winner,"$2,804,265","$2,537,612","$448,839",12/31/2020,MN,06
446,Tawnja Zahradka (D),"$49,242","$49,214",$28,12/31/2020,MN,06
447,Collin Peterson (D)  • Incumbent,"$2,714,012","$2,867,577","$344,745",12/31/2020,MN,07
448,Michelle Fischbach (R)  • Winner,"$2,618,450","$2,580,501","$37,949",12/31/2020,MN,07
449,Pete Stauber (R)  • Incumbent • Winner,"$2,593,190","$2,608,759","$2,767",12/31/2020,MN,08
450,Quinn Nystrom (D),"$1,530,606","$1,527,005","$3,600",12/31/2020,MN,08
451,Trent Kelly (R)  • Incumbent • Winner,"$876,882","$826,673","$228,295",12/31/2020,MS,01
452,Antonia Eliason (D),"$22,281","$18,174","$4,107",11/23/2020,MS,01
453,Bennie G Thompson (D)  • Incumbent • Winner,"$1,377,392","$1,096,904","$1,523,548",12/31/2020,MS,02
454,Michael Guest (R)  • Incumbent • Winner,"$766,807","$518,162","$281,968",12/31/2020,MS,03
455,Steven Palazzo (R)  • Incumbent • Winner,"$817,129","$747,217","$302,029",12/31/2020,MS,04
456,Cori Bush (D)  • Winner,"$1,418,014","$1,333,512","$84,503",12/31/2020,MO,01
457,Ann Wagner (R)  • Incumbent • Winner,"$5,598,287","$6,513,101","$113,443",12/31/2020,MO,02
458,Jill Schupp (D),"$4,850,948","$4,830,434","$20,513",12/31/2020,MO,02
459,Blaine Luetkemeyer (R)  • Incumbent • Winner,"$2,022,905","$2,081,391","$2,205,404",12/31/2020,MO,03
460,Vicky Hartzler (R)  • Incumbent • Winner,"$1,700,978","$1,335,607","$645,432",12/31/2020,MO,04
461,Lindsey Simmons (D),"$395,934","$384,622","$11,282",12/31/2020,MO,04
462,Emanuel Cleaver (D)  • Incumbent • Winner,"$1,393,847","$928,061","$1,134,774",12/31/2020,MO,05
463,Ryan Derks (R),"$76,488","$76,488",$0,12/11/2020,MO,05
464,Sam Graves (R)  • Incumbent • Winner,"$1,959,516","$1,654,756","$856,973",12/31/2020,MO,06
465,Gena Ross (D),"$10,170","$10,530","$1,836",11/23/2020,MO,06
466,Billy Long (R)  • Incumbent • Winner,"$1,320,420","$1,518,234","$475,111",12/31/2020,MO,07
467,Audrey Richards (I),"$7,985","$8,113",-$624,10/14/2020,MO,07
468,Jason Smith (R)  • Incumbent • Winner,"$1,900,227","$1,514,786","$1,531,680",12/31/2020,MO,08
469,Kathryn Ellis (D),"$302,428","$305,387",$0,12/21/2020,MO,08
470,Kathleen Williams (D),"$6,201,758","$6,232,286","$6,430",12/31/2020,MT,01
471,Matt Rosendale (R)  • Winner,"$3,674,706","$3,488,045","$262,839",12/31/2020,MT,01
472,Jeff Fortenberry (R)  • Incumbent • Winner,"$1,472,816","$2,458,330","$718,435",12/31/2020,NE,01
473,Kate Bolz (D),"$1,143,509","$1,140,371","$3,139",12/31/2020,NE,01
474,Don Bacon (R)  • Incumbent • Winner,"$3,749,272","$3,713,961","$85,039",12/31/2020,NE,02
475,Kara Eastman (D),"$4,414,390","$4,468,006","$29,232",12/31/2020,NE,02
476,Adrian Smith (R)  • Incumbent • Winner,"$1,506,473","$1,148,409","$1,145,643",12/31/2020,NE,03
477,Mark Elworth Jr (D),$255,$0,$255,06/30/2020,NE,03
478,Dina Titus (D)  • Incumbent • Winner,"$706,193","$587,919","$328,890",12/31/2020,NV,01
479,Mark Amodei (R)  • Incumbent • Winner,"$1,048,056","$1,016,673","$324,316",12/31/2020,NV,02
480,Patricia Ackerman (D),"$449,363","$449,449",$44,12/31/2020,NV,02
481,Susie Lee (D)  • Incumbent • Winner,"$4,748,019","$4,732,009","$28,704",12/31/2020,NV,03
482,Dan Rodimer (R),"$2,936,059","$2,915,216","$20,842",12/31/2020,NV,03
483,Steven Horsford (D)  • Incumbent • Winner,"$3,492,372","$3,024,427","$495,917",12/31/2020,NV,04
484,Jim Marchant (R),"$1,462,772","$1,419,405","$43,367",12/31/2020,NV,04
485,Jonathan Royce Esteban (L),"$2,788","$1,603","$2,227",06/30/2020,NV,04
486,Chris Pappas (D)  • Incumbent • Winner,"$3,205,731","$3,105,663","$213,912",12/31/2020,NH,01
487,Matt Mowers (R),"$1,707,214","$1,698,761","$8,454",12/31/2020,NH,01
488,Ann Kuster (D)  • Incumbent • Winner,"$2,960,033","$2,970,274","$1,073,085",12/31/2020,NH,02
489,Steve Negron (R),"$368,177","$378,959","-$3,787",12/31/2020,NH,02
490,Don Norcross (D)  • Incumbent • Winner,"$2,221,989","$1,087,264","$1,924,664",12/31/2020,NJ,01
491,Claire Gustafson (R),"$36,520","$21,761","$14,759",06/30/2020,NJ,01
492,Jeff Van Drew (R)  • Incumbent • Winner,"$4,229,171","$4,041,493","$191,878",12/31/2020,NJ,02
493,Amy Kennedy (D),"$4,984,376","$4,978,913","$5,463",12/31/2020,NJ,02
494,Andy Kim (D)  • Incumbent • Winner,"$7,241,283","$6,753,262","$551,835",12/31/2020,NJ,03
495,David Richter (R),"$1,473,669","$1,470,648","$3,021",12/31/2020,NJ,03
496,Chris Smith (R)  • Incumbent • Winner,"$1,383,085","$1,284,522","$141,574",12/31/2020,NJ,04
497,Stephanie Schmid (D),"$699,580","$658,011","$19,121",12/31/2020,NJ,04
498,Josh Gottheimer (D)  • Incumbent • Winner,"$7,694,027","$3,487,964","$8,349,098",12/31/2020,NJ,05
499,Frank Pallotta (R),"$1,972,033","$1,948,705","$23,328",12/31/2020,NJ,05
500,Louis A. Vellucci (I),"$5,456","$5,342",$114,12/31/2020,NJ,05
501,Frank Pallone Jr. (D)  • Incumbent • Winner,"$3,231,755","$2,021,737","$3,337,596",12/31/2020,NJ,06
502,Tom Malinowski (D)  • Incumbent • Winner,"$7,414,403","$7,423,758","$51,095",12/31/2020,NJ,07
503,Tom Kean (R),"$3,869,121","$3,775,442","$93,679",12/31/2020,NJ,07
504,Albio Sires (D)  • Incumbent • Winner,"$605,810","$551,325","$208,334",12/31/2020,NJ,08
505,Bill Pascrell Jr. (D)  • Incumbent • Winner,"$1,560,550","$1,795,410","$1,404,384",12/31/2020,NJ,09
506,Billy Prempeh (R),"$44,269","$35,075","$12,957",12/31/2020,NJ,09
507,Donald M Payne Jr. (D)  • Incumbent • Winner,"$593,735","$457,252","$181,272",12/31/2020,NJ,10
508,Mikie Sherrill (D)  • Incumbent • Winner,"$6,419,707","$3,733,106","$3,131,721",12/31/2020,NJ,11
509,Rosemary Becchi (R),"$1,687,532","$1,686,236","$1,295",12/31/2020,NJ,11
510,Bonnie Watson Coleman (D)  • Incumbent • Winner,"$798,439","$840,651","$107,160",12/31/2020,NJ,12
511,Mark Razzoli (R),"$3,065","$1,142","$1,923",03/31/2020,NJ,12
512,Debra Haaland (D)  • Incumbent • Winner,"$2,246,734","$1,875,766","$390,843",12/31/2020,NM,01
513,Michelle Garcia Holmes (R),"$257,294","$245,590","$11,705",12/31/2020,NM,01
514,Xochitl Torres Small (D)  • Incumbent,"$8,387,337","$8,539,065","$16,718",12/31/2020,NM,02
515,Yvette Herrell (R)  • Winner,"$2,805,711","$2,921,785","$54,544",12/31/2020,NM,02
516,Steve Jones (I),"$9,405","$9,505",-$100,12/31/2020,NM,02
517,Teresa Leger Fernandez (D)  • Winner,"$2,296,594","$2,132,010","$164,583",12/31/2020,NM,03
518,Alexis Johnson (R),"$147,303","$147,303",$0,12/31/2020,NM,03
519,Lee Zeldin (R)  • Incumbent • Winner,"$8,396,981","$8,250,116","$171,436",12/31/2020,NY,01
520,Nancy Goroff (D),"$7,866,239","$7,860,977","$5,262",12/31/2020,NY,01
521,Jackie Gordon (D),"$4,351,881","$4,334,484","$17,396",12/31/2020,NY,02
522,Andrew Garbarino (R)  • Winner,"$1,743,986","$1,612,132","$131,854",12/31/2020,NY,02
523,Harry Burger (3),"$2,430",$594,"$1,836",12/31/2020,NY,02
524,Tom Suozzi (D)  • Incumbent • Winner,"$2,941,006","$2,331,302","$1,930,681",12/31/2020,NY,03
525,George Devolder-Santos (R),"$658,883","$591,239","$67,723",12/31/2020,NY,03
526,Joshua Sauberman (I),$127,$270,"-$2,258",12/31/2020,NY,03
527,Kathleen Rice (D)  • Incumbent • Winner,"$1,106,258","$1,210,410","$189,845",12/31/2020,NY,04
528,Douglas Tuman (R),"$134,937","$130,995","$3,942",12/31/2020,NY,04
529,Ed Dennehy (I),"$9,031","$9,031",$0,08/04/2020,NY,04
530,Gregory W Meeks (D)  • Incumbent • Winner,"$2,097,572","$1,467,454","$781,472",12/31/2020,NY,05
531,Amit Lal (I),$126,$0,$126,11/16/2020,NY,05
532,Grace Meng (D)  • Incumbent • Winner,"$1,292,084","$1,872,311","$395,520",12/31/2020,NY,06
533,Thomas Zmich (R),"$133,403","$131,278","$2,125",12/31/2020,NY,06
534,Nydia Velazquez (D)  • Incumbent • Winner,"$803,217","$676,248","$310,382",12/31/2020,NY,07
535,Hakeem Jeffries (D)  • Incumbent • Winner,"$4,168,717","$3,293,077","$2,145,322",12/31/2020,NY,08
536,Yvette D Clarke (D)  • Incumbent • Winner,"$1,200,067","$1,190,143","$71,621",12/31/2020,NY,09
537,Jerrold Nadler (D)  • Incumbent • Winner,"$1,848,688","$1,950,774","$508,339",12/31/2020,NY,10
538,Cathy Bernstein (R),"$49,975","$28,384","$21,591",10/14/2020,NY,10
539,Jeanne Nigro (I),"$34,548","$28,039","$3,261",12/31/2020,NY,10
540,Michael Madrid (L),"$14,326","$12,149","$2,178",12/03/2020,NY,10
541,Max Rose (D)  • Incumbent,"$9,284,434","$9,499,242","$23,184",12/31/2020,NY,11
542,Nicole Malliotakis (R)  • Winner,"$3,469,995","$3,447,052","$22,943",12/31/2020,NY,11
543,Kemi Akindude (I),"$21,261","$14,697",$624,12/31/2020,NY,11
544,Carolyn B Maloney (D)  • Incumbent • Winner,"$3,067,173","$3,059,202","$116,416",12/31/2020,NY,12
545,Adriano Espaillat (D)  • Incumbent • Winner,"$1,087,237","$1,252,740","$102,521",12/31/2020,NY,13
546,Lovelynn Gwinn (R),"$39,384","$39,384",$0,12/22/2020,NY,13
547,Alexandria Ocasio-Cortez (D)  • Incumbent • Winner,"$20,664,795","$16,735,422","$4,297,383",12/31/2020,NY,14
548,John C. Cummings (R),"$11,140,937","$10,947,758","$193,228",12/31/2020,NY,14
549,Ritchie Torres (D)  • Winner,"$2,194,025","$1,804,336","$389,690",12/31/2020,NY,15
550,Jamaal Bowman (D)  • Winner,"$2,878,898","$2,801,424","$77,474",12/31/2020,NY,16
551,Mondaire Jones (D)  • Winner,"$2,984,052","$2,186,463","$797,588",12/31/2020,NY,17
552,Maureen McArdle Schulman (R),"$54,732","$60,084","-$5,327",12/31/2020,NY,17
553,Michael Parietti (3),"$44,787","$19,670","$25,116",10/14/2020,NY,17
554,Sean Patrick Maloney (D)  • Incumbent • Winner,"$2,556,294","$1,718,525","$860,002",12/31/2020,NY,18
555,Chele Farley (R),"$1,186,211","$1,152,124","$34,086",12/31/2020,NY,18
556,Scott Smith (I),"$8,718","$8,403",$495,12/31/2020,NY,18
557,Antonio Delgado (D)  • Incumbent • Winner,"$5,949,475","$2,963,286","$3,064,789",12/31/2020,NY,19
558,Kyle Van De Water (R),"$153,796","$120,097","$33,700",12/31/2020,NY,19
559,Paul Tonko (D)  • Incumbent • Winner,"$1,541,984","$1,418,994","$811,660",12/31/2020,NY,20
560,Elizabeth Joy (R),"$370,852","$336,845","$34,007",12/31/2020,NY,20
561,Elise Stefanik (R)  • Incumbent • Winner,"$13,287,248","$11,655,936","$1,983,541",12/31/2020,NY,21
562,Tedra Cobb (D),"$5,586,793","$5,593,266","$32,848",12/31/2020,NY,21
563,Anthony Brindisi (D)  • Incumbent,"$6,020,190","$5,772,429","$252,624",12/31/2020,NY,22
564,Claudia Tenney (R),"$3,051,777","$2,725,893","$402,867",12/31/2020,NY,22
565,Tom Reed (R)  • Incumbent • Winner,"$3,275,177","$3,145,027","$182,389",12/31/2020,NY,23
566,Tracy Mitrano (D),"$1,450,322","$1,466,128","$3,284",12/31/2020,NY,23
567,John Katko (R)  • Incumbent • Winner,"$3,821,107","$3,597,234","$272,061",12/31/2020,NY,24
568,Dana Balter (D),"$3,212,469","$3,230,808","$5,647",12/31/2020,NY,24
569,Joseph D Morelle (D)  • Incumbent • Winner,"$1,375,366","$1,274,426","$160,175",12/31/2020,NY,25
570,George Mitris (R),"$301,376","$279,047","$22,329",10/14/2020,NY,25
571,Kevin Wilson (L),"$5,128","$3,417","$1,711",10/14/2020,NY,25
572,Brian M Higgins (D)  • Incumbent • Winner,"$1,124,168","$984,106","$1,111,052",12/31/2020,NY,26
573,Chris Jacobs (R)  • Incumbent • Winner,"$2,147,101","$2,084,271","$62,829",12/31/2020,NY,27
574,Nate McMurray (D),"$1,150,058","$1,097,111","$63,761",11/23/2020,NY,27
